epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4209,2.23657,4.51235,1.76496,0,0,0,0,2.01227,4.50817,1.66205,3.85e-05,3.85e-05,3.85e-05
2,71.4516,1.71046,4.38351,1.40553,0,0,0,0,1.1854,4.25397,1.12786,8.00496e-05,8.00496e-05,8.00496e-05
3,105.895,1.2429,4.14693,1.17542,0,0,0,0,1.08703,4.18926,1.05648,0.000120761,0.000120761,0.000120761
4,139.593,1.23046,3.73365,1.12968,0.06722,0.49801,0.10321,0.07746,1.08929,3.99315,1.03112,0.000160633,0.000160633,0.000160633
5,173.952,1.27259,3.51162,1.14228,0.08125,0.79784,0.19832,0.12115,1.18713,3.6154,1.1555,0.000199667,0.000199667,0.000199667
6,208.168,1.20649,3.26428,1.13103,0.45114,0.3186,0.21576,0.12956,1.24058,3.09734,1.22201,0.000237863,0.000237863,0.000237863
7,242.798,1.21554,3.04305,1.13459,0.43943,0.39671,0.24298,0.15586,1.24124,2.73449,1.20548,0.00027522,0.00027522,0.00027522
8,285.064,1.20913,2.915,1.13482,0.43408,0.38941,0.25967,0.17382,1.22404,2.68805,1.1879,0.000311738,0.000311738,0.000311738
9,325.17,1.21406,2.7385,1.16488,0.45429,0.30039,0.29006,0.20433,1.17292,2.62575,1.15825,0.000347418,0.000347418,0.000347418
10,367.914,1.20652,2.59691,1.17514,0.40108,0.47148,0.29651,0.21006,1.14483,2.65197,1.14516,0.000350697,0.000350697,0.000350697
11,410.08,1.19782,2.47334,1.19324,0.27988,0.59977,0.3042,0.21209,1.13146,2.62172,1.13643,0.000346885,0.000346885,0.000346885
12,453.435,1.19432,2.4924,1.2038,0.35203,0.55509,0.35788,0.24628,1.19981,2.40213,1.15069,0.000343074,0.000343074,0.000343074
13,495.146,1.18727,2.31615,1.17942,0.44296,0.48706,0.38792,0.27085,1.21316,2.29574,1.16336,0.000339262,0.000339262,0.000339262
14,536.941,1.1527,2.15257,1.16725,0.47248,0.49932,0.40261,0.28136,1.20793,2.21546,1.17925,0.00033545,0.00033545,0.00033545
15,575.445,1.16998,2.21107,1.18892,0.54144,0.45659,0.47647,0.34704,1.18028,2.07816,1.21238,0.000331639,0.000331639,0.000331639
16,612.067,1.1874,2.17332,1.19627,0.4359,0.59953,0.48654,0.35473,1.16653,1.97735,1.22249,0.000327827,0.000327827,0.000327827
17,649.432,1.14749,2.03865,1.1626,0.50624,0.69209,0.5493,0.40116,1.15198,1.84169,1.24887,0.000324016,0.000324016,0.000324016
18,683.19,1.1265,1.98968,1.18859,0.59413,0.51732,0.55385,0.40797,1.13966,1.81991,1.25023,0.000320204,0.000320204,0.000320204
19,716.456,1.15195,1.9429,1.20942,0.5835,0.58664,0.57792,0.43029,1.1092,1.76181,1.23969,0.000316393,0.000316393,0.000316393
20,749.941,1.12148,1.85455,1.1838,0.58553,0.66494,0.58869,0.43385,1.11673,1.65487,1.22969,0.000312581,0.000312581,0.000312581
21,783.252,1.13702,1.79075,1.17046,0.57031,0.68198,0.60618,0.44279,1.11561,1.61153,1.23648,0.00030877,0.00030877,0.00030877
22,816.523,1.12751,1.73554,1.14825,0.59165,0.71724,0.62202,0.45595,1.11195,1.58929,1.25479,0.000304958,0.000304958,0.000304958
23,849.945,1.14433,1.64225,1.16651,0.522,0.66888,0.56374,0.4062,1.18731,1.66394,1.29643,0.000301147,0.000301147,0.000301147
24,883.293,1.15531,1.59844,1.23009,0.52051,0.67427,0.56435,0.40614,1.17685,1.63343,1.2912,0.000297335,0.000297335,0.000297335
25,917.696,1.11411,1.70521,1.14273,0.58419,0.7503,0.64089,0.46431,1.11612,1.44047,1.24783,0.000293524,0.000293524,0.000293524
26,951.377,1.14076,1.57444,1.18405,0.60595,0.69071,0.64252,0.46261,1.12385,1.40285,1.25113,0.000289712,0.000289712,0.000289712
27,984.812,1.09781,1.58888,1.1467,0.68185,0.61413,0.65862,0.47247,1.13252,1.38545,1.25685,0.000285901,0.000285901,0.000285901
28,1018.5,1.1182,1.5284,1.1869,0.6299,0.75934,0.7025,0.5106,1.13193,1.40843,1.25495,0.000282089,0.000282089,0.000282089
29,1051.95,1.11918,1.51805,1.14412,0.64033,0.7531,0.72136,0.53111,1.12777,1.47345,1.25038,0.000278278,0.000278278,0.000278278
30,1085.05,1.09293,1.45338,1.15236,0.71437,0.71222,0.72457,0.52831,1.11414,1.47685,1.23699,0.000274466,0.000274466,0.000274466
31,1119.24,1.09965,1.56198,1.12215,0.69485,0.65396,0.68656,0.49791,1.11739,1.52357,1.23812,0.000270655,0.000270655,0.000270655
32,1152.59,1.08421,1.40056,1.16152,0.74995,0.57376,0.68422,0.50139,1.12456,1.50003,1.25046,0.000266843,0.000266843,0.000266843
33,1185.78,1.0917,1.33284,1.15882,0.76802,0.65087,0.7306,0.53601,1.10734,1.27227,1.23677,0.000263032,0.000263032,0.000263032
34,1218.53,1.10833,1.47041,1.17572,0.72111,0.68284,0.73232,0.53184,1.10998,1.2534,1.23274,0.00025922,0.00025922,0.00025922
35,1251.58,1.08831,1.27937,1.13703,0.80269,0.67708,0.75122,0.55292,1.10583,1.23163,1.22554,0.000255409,0.000255409,0.000255409
36,1284.67,1.06285,1.38156,1.13607,0.81681,0.7495,0.78927,0.58832,1.1011,1.17222,1.21634,0.000251597,0.000251597,0.000251597
37,1317.8,1.08556,1.27218,1.13583,0.81731,0.75127,0.78397,0.58309,1.09917,1.16776,1.2065,0.000247786,0.000247786,0.000247786
38,1350.73,1.0958,1.29632,1.12134,0.82963,0.75943,0.77039,0.57034,1.09142,1.18694,1.19944,0.000243974,0.000243974,0.000243974
39,1384.04,1.09177,1.318,1.13009,0.81385,0.71128,0.78613,0.58885,1.09003,1.16474,1.20433,0.000240163,0.000240163,0.000240163
40,1417.38,1.08431,1.23047,1.13184,0.82182,0.71075,0.79695,0.59107,1.1003,1.14757,1.20759,0.000236351,0.000236351,0.000236351
41,1450.72,1.08421,1.2052,1.14261,0.89688,0.71497,0.81086,0.59574,1.11683,1.11354,1.2191,0.00023254,0.00023254,0.00023254
42,1484.02,1.05344,1.25222,1.11735,0.87395,0.73734,0.8057,0.58857,1.12502,1.11768,1.23072,0.000228729,0.000228729,0.000228729
43,1518.56,1.05466,1.25023,1.11474,0.85098,0.73372,0.79715,0.58123,1.13469,1.1071,1.24274,0.000224917,0.000224917,0.000224917
44,1559.92,1.04591,1.22788,1.1086,0.82258,0.6993,0.78318,0.57851,1.13054,1.13455,1.24729,0.000221106,0.000221106,0.000221106
45,1600.76,1.05187,1.19133,1.10807,0.75884,0.73342,0.77543,0.57434,1.12726,1.14819,1.24771,0.000217294,0.000217294,0.000217294
46,1640.15,1.05867,1.15702,1.12743,0.79026,0.72373,0.78613,0.57937,1.12305,1.09175,1.24356,0.000213482,0.000213482,0.000213482
47,1680.21,1.04461,1.14305,1.10395,0.85425,0.71954,0.78876,0.58436,1.10042,1.06598,1.2274,0.000209671,0.000209671,0.000209671
48,1720.67,1.05385,1.16247,1.10467,0.82491,0.71104,0.78607,0.58208,1.09623,1.1,1.22695,0.00020586,0.00020586,0.00020586
49,1761.22,1.04876,1.22523,1.11522,0.85889,0.6604,0.76416,0.57022,1.08698,1.12967,1.21485,0.000202048,0.000202048,0.000202048
50,1801.29,1.02161,1.08832,1.10356,0.79119,0.72007,0.76402,0.56758,1.08572,1.11837,1.20716,0.000198236,0.000198236,0.000198236
51,1841.95,1.06498,1.15914,1.13699,0.78319,0.75907,0.7838,0.58362,1.09321,1.08511,1.20728,0.000194425,0.000194425,0.000194425
52,1881.83,1.05934,1.14528,1.11935,0.81086,0.74378,0.78985,0.57528,1.10987,1.11491,1.22165,0.000190613,0.000190613,0.000190613
53,1922.38,1.02493,1.16893,1.11261,0.79119,0.713,0.77764,0.56369,1.10314,1.15459,1.22238,0.000186802,0.000186802,0.000186802
54,1963.15,1.03534,1.10918,1.12035,0.75359,0.705,0.75833,0.55368,1.08964,1.19793,1.2096,0.00018299,0.00018299,0.00018299
55,2003.69,1.03983,1.13769,1.09175,0.79841,0.695,0.76707,0.56244,1.08719,1.12949,1.2001,0.000179179,0.000179179,0.000179179
56,2044.04,1.0471,1.07205,1.11807,0.82759,0.77246,0.78868,0.57983,1.09074,1.0645,1.21172,0.000175367,0.000175367,0.000175367
57,2085.28,1.00352,1.04871,1.06181,0.86814,0.74724,0.81558,0.59755,1.10576,1.02355,1.23587,0.000171556,0.000171556,0.000171556
58,2125.66,1.02593,1.08175,1.119,0.83424,0.77088,0.81369,0.59173,1.10972,1.02438,1.24123,0.000167745,0.000167745,0.000167745
59,2167.4,1.0074,1.06709,1.0953,0.84778,0.75378,0.813,0.59007,1.10801,1.04814,1.24099,0.000163933,0.000163933,0.000163933
60,2208.44,1.02909,1.03675,1.10735,0.79651,0.75602,0.80666,0.58667,1.09926,1.09704,1.22216,0.000160122,0.000160122,0.000160122
61,2249.21,0.98854,1.09781,1.0746,0.84764,0.69634,0.8028,0.58189,1.09935,1.09141,1.22089,0.00015631,0.00015631,0.00015631
62,2289.88,1.02329,1.00502,1.11035,0.86271,0.69556,0.79901,0.58253,1.09441,1.06414,1.21988,0.000152498,0.000152498,0.000152498
63,2331.35,0.99075,1.04798,1.08392,0.8321,0.76304,0.8158,0.59577,1.08043,0.9959,1.20811,0.000148687,0.000148687,0.000148687
64,2371.83,0.99044,1.02607,1.07155,0.86876,0.745,0.82058,0.59909,1.07136,0.97353,1.19877,0.000144875,0.000144875,0.000144875
65,2413.36,0.98559,0.97437,1.08783,0.86283,0.74448,0.83111,0.60911,1.06858,0.96237,1.19359,0.000141064,0.000141064,0.000141064
66,2454.66,1.00255,1.01199,1.07861,0.83538,0.74982,0.81884,0.60064,1.07464,0.97012,1.20027,0.000137252,0.000137252,0.000137252
67,2495.48,0.97859,0.99364,1.08468,0.8479,0.75212,0.81399,0.59534,1.08283,0.9707,1.20907,0.000133441,0.000133441,0.000133441
68,2537.04,1.00598,1.01499,1.1111,0.83288,0.75271,0.81388,0.58875,1.08332,0.97616,1.20655,0.000129629,0.000129629,0.000129629
69,2578.82,0.98806,1.03391,1.06555,0.83204,0.76366,0.81008,0.59192,1.0846,0.99317,1.21384,0.000125818,0.000125818,0.000125818
70,2619.65,0.99164,1.03402,1.07836,0.85574,0.73675,0.80446,0.58617,1.08296,1.00605,1.21987,0.000122007,0.000122007,0.000122007
71,2660.9,0.97299,0.96513,1.0826,0.84821,0.71938,0.90457,0.6619,1.06161,0.99689,1.20263,0.000118195,0.000118195,0.000118195
72,2701.35,0.9833,0.95827,1.07745,0.865,0.75515,0.91324,0.68146,1.05515,0.98006,1.18899,0.000114384,0.000114384,0.000114384
73,2741.5,0.97833,1.00419,1.0953,0.8503,0.78109,0.91804,0.6711,1.05694,0.96183,1.1962,0.000110572,0.000110572,0.000110572
74,2782.84,0.96642,0.96464,1.05575,0.84292,0.78373,0.91688,0.67114,1.07443,0.96051,1.21752,0.000106761,0.000106761,0.000106761
75,2824.5,0.96119,0.96811,1.06536,0.69516,0.9604,0.91447,0.66589,1.09187,0.97,1.23556,0.000102949,0.000102949,0.000102949
76,2865.15,0.95023,0.91993,1.04941,0.65881,0.94189,0.91262,0.66124,1.09928,0.983,1.24084,9.91375e-05,9.91375e-05,9.91375e-05
77,2906.05,0.97355,0.99503,1.0685,0.66006,0.95198,0.91562,0.66461,1.08382,0.97556,1.22884,9.5326e-05,9.5326e-05,9.5326e-05
78,2946.53,0.97902,1.05023,1.09087,0.67068,0.92337,0.91772,0.67121,1.06348,0.95941,1.21489,9.15145e-05,9.15145e-05,9.15145e-05
79,2988.34,0.94475,0.90583,1.05554,0.7208,0.92337,0.91484,0.67157,1.05175,0.93056,1.20367,8.7703e-05,8.7703e-05,8.7703e-05
80,3030.18,0.9612,0.93826,1.07451,0.74632,0.92337,0.91446,0.66886,1.05382,0.93043,1.20145,8.38915e-05,8.38915e-05,8.38915e-05
81,3071.32,0.94804,0.91066,1.07282,0.78597,0.91794,0.91265,0.66632,1.06631,0.95107,1.20331,8.008e-05,8.008e-05,8.008e-05
82,3111.87,0.95694,0.99578,1.07721,0.80526,0.90277,0.91138,0.66256,1.06633,0.96136,1.19803,7.62685e-05,7.62685e-05,7.62685e-05
83,3152.46,0.9689,0.91942,1.06508,0.80287,0.90071,0.91027,0.66205,1.0674,0.96508,1.19766,7.2457e-05,7.2457e-05,7.2457e-05
84,3193.47,0.96084,0.9557,1.06166,0.83204,0.86113,0.90961,0.66471,1.06249,0.96313,1.19587,6.86455e-05,6.86455e-05,6.86455e-05
85,3234.37,0.96231,0.94707,1.04619,0.82647,0.86687,0.91103,0.6656,1.06459,0.96296,1.20074,6.4834e-05,6.4834e-05,6.4834e-05
86,3276.72,0.97375,0.97708,1.08412,0.80479,0.8642,0.91179,0.66521,1.06666,0.957,1.20781,6.10225e-05,6.10225e-05,6.10225e-05
87,3317.67,0.95765,0.8755,1.06263,0.81068,0.85553,0.91446,0.66704,1.06702,0.93945,1.21114,5.7211e-05,5.7211e-05,5.7211e-05
88,3361.44,0.93546,0.89868,1.06158,0.83022,0.86223,0.91607,0.66911,1.06506,0.93272,1.21133,5.33995e-05,5.33995e-05,5.33995e-05
89,3406.8,0.97553,0.92714,1.06892,0.86158,0.8612,0.92083,0.66893,1.06318,0.92111,1.20804,4.9588e-05,4.9588e-05,4.9588e-05
90,3452.05,0.94013,0.93046,1.08238,0.84008,0.85355,0.9189,0.66656,1.06113,0.91968,1.20432,4.57765e-05,4.57765e-05,4.57765e-05
91,3496.42,0.94889,0.93944,1.08494,0.86229,0.82817,0.91461,0.66256,1.06414,0.93117,1.20469,4.1965e-05,4.1965e-05,4.1965e-05
92,3541.23,0.94091,0.9319,1.04547,0.89557,0.80587,0.91131,0.65728,1.07469,0.95132,1.209,3.81535e-05,3.81535e-05,3.81535e-05
93,3585.84,0.92654,0.87658,1.05729,0.79904,0.88469,0.90797,0.65172,1.08431,0.96306,1.21829,3.4342e-05,3.4342e-05,3.4342e-05
94,3630.65,0.96791,0.9421,1.05814,0.79422,0.88551,0.9086,0.65211,1.09863,0.98061,1.23412,3.05305e-05,3.05305e-05,3.05305e-05
95,3674.57,0.92085,0.88218,1.05475,0.84681,0.81677,0.90611,0.65273,1.1153,0.99711,1.25011,2.6719e-05,2.6719e-05,2.6719e-05
96,3718.29,0.93099,0.90056,1.03896,0.7923,0.8487,0.9058,0.65103,1.11407,1.00067,1.24862,2.29075e-05,2.29075e-05,2.29075e-05
97,3763.34,0.92807,0.88103,1.06165,0.82345,0.83029,0.90289,0.65028,1.10578,0.99808,1.2408,1.9096e-05,1.9096e-05,1.9096e-05
98,3808.24,0.92009,0.9111,1.04857,0.80348,0.84045,0.90373,0.65129,1.09861,0.98386,1.23444,1.52845e-05,1.52845e-05,1.52845e-05
99,3852.59,0.92088,0.86397,1.04724,0.81545,0.86524,0.90729,0.65274,1.09331,0.97325,1.22946,1.1473e-05,1.1473e-05,1.1473e-05
100,3896.6,0.90862,0.89007,1.06523,0.81806,0.83828,0.90463,0.65317,1.08874,0.96672,1.2271,7.6615e-06,7.6615e-06,7.6615e-06
